,singkatan,baku
0,ngatain,menghina
1,mengatakan,menghina
2,pnasaran,penasaran
3,ap,apa
4,somali,somasi
5,kaya,seperti
6,nyoba,coba
7,pas,waktu
8,launching,buka
9,the somasi of,somasi
10,min,admin
11,sebenernya,sebenarnya
12,kemaren,kemarin
13,esteh,es teh
14,eneg,enek
15,bikin,buat
16,kasih,beri
17,mending,lebih baik
18,aus,haus
19,end up,berakhir
20,hauss,haus
21,brand,merek
22,resenya,usil
23,rese,usil
24,buat,buat
25,brandnya,merek
26,ni,ini
27,kasusin,kasus
28,yauda,ya sudah
29,mindset,pemikiran
30,bener,benar
31,hater,pembenci
32,hate,benci
33,as a,sebagai
34,big brand,merek besar
35,even,meskipun
36,take,ambil
37,the criticism,kritik
38,step,langkah
39,become,menjadi
40,a better brand,merek yang lebih baik
41,outsider,beda
42,doyan,suka
43,redvelvet,red velvet
44,dikasih,beri
45,whipcream,krim
46,kudu,harus
47,medsos,media sosial
48,bad move,langkah yang buruk
49,very,sangat
50,rv,red velvet
51,esth,es teh
52,tydack,tidak
53,cocoks,cocok
54,ku,aku
55,anw,bagaimanapun
56,pulak,pula
57,eeknya,feses
58,ajg,anjing
59,jgabis,juga setelah
60,eek,berak
61,nyari,cari
62,pokonya,pokok
63,request,meminta
64,di pergunakan,dipergunakan
65,di sayang kan,disayangkan
66,ehh,eh
67,di jadikan,menjadikan
68,and,dan
69,the record,rekor
70,i,saya
71,stand with,mendukung
72,kg,kilogram
73,yekan,ya kan
74,dihinahina,hina
75,bakal,akan
76,cust,pelanggan
77,customer,pelanggan
78,masak,masa
79,dilakuin,dilakukan
80,sosmed,media sosial
81,diem,diam
82,bae,saja
83,lakuin,melakukan
84,nulis,tulis
85,si,sih
86,di katain,dihina
87,mas nya,mas
88,merk,merek
89,ngiung,giung
90,sukak,suka
91,alus,halus
92,lgs,langsung
93,dibaperin,terbawa perasaan
94,komplen,keluhan
95,store managernya,manajer toko
96,req,minta
97,ttp,tetap
98,njir,anjir
99,sekilo,satu kilogram
100,temenin,menemani
101,ydh,ya sudah
102,chizu nya,chizu
103,bangett,banget
104,bngtt,banget
105,nyimak,simak
106,case nya,kasus
107,loo,lho
108,manis nyaa,manisnya
109,di alihkan,dialihkan
110,gimmick,gimik
111,advertising,iklan
112,benificial,bermanfaat
113,di lihat,lihat
114,estehindonesia,es teh indonesia
115,nindas,tindas
116,power,kekuatan
117,post,pos
118,by email,melalui email
119,estehindonesia nya,es teh indonesia
120,pr,hubungan masyarakat
121,tweet nya,tweet
122,kenapaa,kenapa
123,netizenn,netizen
124,nusantara nya,nusantaranya
125,udalah,sudah lah
126,ea,es
127,belain,membela
128,tah,apa
129,diketawain,tertawa
130,macem,macam
131,cup,gelas
132,teh nya,teh
133,bg,abang
134,crv,chizu red velvet
135,temen,teman
136,makasih,terima kasih
137,added,tambahan
138,nomor sugar addedd,tidak ditambahkan gula
139,etapi,tetapi
140,nyobain,coba
141,cizzu,chizu
142,kalo,kalau
143,th,teh
144,rasa nya,rasa
145,cobain,coba
146,resiko,risiko
147,ajarin,ajar
148,mepet,dekat
149,indonsia,indonesia
150,diomongin,berbicara
151,sorry,maaf
152,beli nya,beli
153,taik,tahi
154,cmn,cuma
155,tai,tahi
156,segitu,begitu
157,kecewa nya,kecewa
158,kesel,kesal
159,hate speech,kebencian
160,bang,abang
161,full,penuh
162,kali,sekali
163,kao,kamu
164,noh,itu
165,bkl,akan
166,blok goblok,goblok
167,sombong nya,sombong
168,emangnya,memang
169,bro,kawan
170,ngebela,bela
171,kasar nya,kasarnya
172,tenggorokan nya,tenggorokan
173,ke banget an,kebangetan
174,belom,belum
175,velvet nya,velvet
176,chesse nya,keju
177,se,satu
178,somehow jangan like all this fuss about,entah bagaimana tidak menyukai keributan tentang
179,personally,sendiri
180,es nya,es
181,pesennya,pesan
182,sugarnya,gula
183,cos,karena
184,ke manisan,kemanisan
185,aslii,asli
186,anjg,anjing
187,biki,buat
188,ye,ya
189,tsnya,pelanggan
190,ngenormalisasi,normalisasi
191,twittard,twitter
192,dibeliin,beli
193,sesruput,satu seruput
194,sruput,seruput
195,y,ya
196,next order,pembelian selanjutnya
197,ska,suka
198,mniz,manis
199,kayak,seperti
200,caf̩,kafe
201,ku jungi,kunjungi
202,kerja nya,kerjanya
203,mauu,mau
204,amat,banget
205,ribett,ribet
206,tarr,nanti
207,kaloo,kalau
208,redvelvel,red velvet
209,nerima,terima
210,balesin,balas
211,komenan,komentar
212,netijen,netizen
213,duit,uang
214,power play,kekuasaan
215,missinformasi,salah informasi
216,kl,kalau
217,nyebutnya,sebut
218,pala,kepala
219,leds sugar,gula lebih sedikit
220,less sugar,gula lebih sedikit
221,gaena,tidak enak
222,woyy,woi
223,byee,selamat tinggal
224,endingnya,akhirnya
225,normal sugar,gula normal
226,ngerti,mengerti
227,marketing,pemasaran
228,legalnya,legal
229,gwa,saya
230,rs,rumah sakit
231,ajuin,aju
232,makannya,makanya
233,attitude nya,sikap
234,with sugar,dengan gula
235,no sugar,tanpa gula
236,nomor sugar,tanpa gula
237,gula nya,gula
238,enggak,tidak
239,mesen,pesan
240,asem,asam
241,asemnya,asam
242,traumatik,traumatis
243,hallo,halo
244,less,lebih sedikit
245,order,pesan
246,kk,kakak
247,bngt,banget
248,drop,turun
249,sipaling,si paling
250,ko,kok
251,jadiin,jadi
252,kayanya,sepertinya
253,basic,dasar
254,dijelekin,dijelekkan
255,somasiin,somasi
256,ngejelekin,menjelekkan
257,gimans,bagaimana
258,ngomong,berbicara
259,ngomongnya,berbicara
260,posisi in,posisikan
261,ngelakuin,melakukan
262,ngefitnah,memfitnah
263,coklatteh,cokolateh
264,etapi,tetapi
265,opini,pendapat
266,skr,sekarang
267,temenku,temanku
268,se sruput,satu seruput
269,diabet,diabetes
270,gr,gram
271,kudunya,harusnya
272,gasi,tidak sih
273,monmaap,mohon maaf
274,bberapa,beberapa
275,sp,pengemulsi kue
276,velvetnya,velvet
277,strong,kuat
278,handling,penanganan
279,team,tim
280,ny,new york
281,sempet,sempat
282,sihh,sih
283,grgr,gara-gara
284,non sugar,tanpa gula
285,taro nya,taronya
286,ogah,tidak mau
287,commentnya,komentar
288,relate,sesuai
289,manisnyaa,manisnya
290,kayaknya,sepertinya
291,didaftarin,daftar
292,dpilih,dipilih
293,bnget,banget
294,bnyak,banyak
295,market,pasar
296,beneran,benar
297,ae,saja
298,first,pertama
299,first time,pertama kali
300,diabisin,habis
301,nama nya,nama
302,franchise,waralaba
303,apalgi,apalagi
304,ngepost,pos
305,ditwitter,di twitter
306,dlm,dalam
307,diitung,dihitung
308,minim,sedikit
309,gegara,gara-gara
310,sii,sih
311,dikatain,dihina
312,nyumpahin,menyumpahi
313,phk,pemutusan hubungan kerja
314,gemeter,gemetar
315,done,sudah
316,blog,bodoh
317,ngelihat,melihat
318,block,blokir
319,serem,seram
320,nyalahin,menyalahkan
321,mangap,bicara
322,teryata,ternyata
323,management,manajemen
324,lawyer,pengacara
325,customer friendly,ramah pelanggan
326,minus,minum
327,muanise ,manis
328,pwol,banget
329,too much,terlalu banyak
330,booyycoot,boikot
331,fikir,pikir
332,waini,wah ini
333,crisis,krisis
334,managementnya,manajemen
335,murce,murah
336,neko,aneh
337,polah,tingkah
338,gilee,gila
339,bgtt,banget
340,plastic cup,gelas plastik
341,ginian,begini
342,lame,cacat
343,dijawabin,jawab
344,ka,kakak
345,sugar level,level gula
346,hak nya,hak
347,seantero,seluruh
348,bye,selamat tinggal
349,good bye,selamat tinggal
350,kritik nya,kritik
351,apik,bagus
352,galiat,tidak lihat
353,trouble,masalah
354,roasting,ejek
355,triggered,memicu
356,kostumer,pelanggan
357,dolane,mainnya
358,adoh,jauh
359,resign,berhenti
360,bat,banget
361,tastenya,rasanya
362,gakusah,tidak usah
363,danmaaf,dan maaf
364,hello,halo
365,owner,pemilik
366,komplainan,keluhan
367,takud,takut
368,nomor offense,tidak bermaksud menyinggung
369,no offense,tidak bermaksud menyinggung
370,to be honest,sejujurnya
371,untuk be jujur,sejujurnya
372,dijadiin,jadi
373,sad,sedih
374,sebel,sebal
375,dikulitin,dikuliti
376,survive,bertahan
377,first waktu,pertama kali
378,bestseller,terbaik
379,terimakasih,terima kasih
380,hastag,tagar
381,bad,buruk
382,move,langkah
383,bca,baca
384,buangeett,banget
385,muanis,manis
386,beudh,banget
387,tes,teh
388,engkong,kakek
389,mensuspen,menangguhkan
390,pansos,panjat sosial
391,maniez,manis
392,ibarate,ibaratnya
393,uwong,orang
394,sek,yang
395,nek,kalau
396,kui,itu
397,diunekke,dihina
398,ro,oleh
399,nesu,marah
400,njuk,lalu
401,nglaporke,melaporkan
402,wongtuone,orang tua
403,logic,logis
404,ttep,tetap
405,bravo,bagus
406,speedrun,lari yang kencang
407,bankruptcy any,bangkrut
408,ma,mah
409,paporit chizu,favorit chizu
410,avokado,avocado
411,segernya,segar
412,seger,segar
413,kentel,kental
414,overclaim,klaim berlebihan
415,tuh,itu
416,original nya,original
417,dianggep,dianggap
418,kyo,seperti
419,banyu,air
420,wong,orang
421,gentlemen,pria
422,pov,pandangan
423,kurng,kurang
424,value,nilai
425,manis nya,manis
426,perbaikin,perbaiki
427,better,lebih baik
428,smp,sampai
429,prediction,prediksi
430,label nya,label
431,vs,versus
432,satisfy,puas
433,dissatisfy,tidak puas
434,masarin,memasarkan
435,ultraprocessed food,makanan olahan
436,prnya,hubungan masyarakat
437,smpt,sempat
438,gr,gara-gara
439,cm,cuma
440,samsek,sama sekali
441,iku,itu
442,brown sugar,gula merah
443,yapp,ya
444,oversweet,terlalu manis
445,in a bad way,yang buruk
446,koh,kakak
447,plislah,tolong lah
448,buzzer nya,buzzer
449,publik,hubungan
450,coast is clear,masalah selesai
451,red flag,bahaya
452,kedai nya,kedai
453,okeh,oke
454,testi,testimoni
455,backfire,serangan balik
456,baristanya,barista
457,terknal,terkenal
458,bebrbagai,berbagai
459,sibrand,si merek
460,dihatspacein,dihina
461,velnya,velvet
462,illfeel,hilang rasa
463,aer,air
464,wrong,salah
465,wrong move,salah langkah
466,but,tetapi
467,really,sangat
468,unwise,tidak bijaksana
469,merhatiin,memperhatikan
470,beii,beli
471,akn,akan
472,moncor,diare
473,hukum nya,hukum
474,ceo,direktur utama
475,over,lebih
476,rt,membagikan
477,likes,suka
478,perhaps,mungkin
479,the next ,selanjutnya
480,blacklist,daftar hitam
481,voice of customer,suara konsumen
482,emank,memang
483,pain,sakit
484,emphaty,empati
485,byak,banyak
486,sndri,sendiri
487,giungg,giung
488,puyeng,pusing
489,sangking,karena sangat
490,wawawawah,wah
491,nih,ini
492,dapet,dapat
493,cmiiw,koreksi kalau salah
494,lab,laboratorium
495,dak,tidak
496,brand nya,merek
497,jir,anjir
498,keausan,kehausan
499,buseet,buset
500,dibandingin,dibandingkan
501,typo,salah ketik
502,nunjukin,menunjukkan
503,valvet,velvet
504,gur,hanya
505,handle,menangani
506,cool,keren
507,bl,beli
508,based,dasar
509,pulang,paling
510,ngejerumusin,menjerumuskan
511,gws,semoga lekas sembuh
512,kbangetan,kebangetan
513,ngrasa,merasa
514,prmah,pernah
515,mnurutku,menurutku
516,series,varian
517,trima,terima
518,bersrti,berarti
519,respon,respons
520,direspon,respons
521,walopun,walaupun
522,mihil,mahal
523,cancel,batal
524,ditumplek,diberikan
525,koq,kok
526,fans,penggemar
527,leci nya,lecinya
528,saat set saat set,praktis
529,sat set sat set,praktis
530,sat set,praktis
531,nempel,menempel
532,brook,kawan
533,bully,menggertak
534,namain,nama
535,ngelanggar,melanggar
536,hki,hak kekayaan intelektual
537,maniss,manis
538,pr nya,hubungan masyarakat
539,era nya,era
540,k,ke
541,rasain,rasakan
542,bangetz,banget
543,jathuin,menjatuhkan
544,owalah,oalah
545,rego,harga
546,larang,mahal
547,ki,itu
548,ben,agar
549,do,pada
550,skip,lewat
551,back,kembali
552,nyicip,cicip
553,seri,varian
554,used,biasa
555,buy,membeli
556,would,akan
557,it,itu
558,aftertaste,sisa rasa
559,sesachet,satu saset
560,freezer,kulkas
561,shame on,tidak tahu malu
562,shame on you,tidak tahu malu
563,shame on kamu,tidak tahu malu
564,doi,dia
565,dikuliti nya,dikuliti
566,mamam,makan tuh
567,ilfil,hilang rasa
568,ilfeel,hilang rasa
569,stop,berhenti
570,teh ny,teh
571,dibelain,bela
572,point,poin
573,sumpahin,menyumpahi
574,kaka,kakak
575,iah,ya
576,jelasin,menjelaskan
577,kayanya,seperti
578,cpun,satu gelas pun
579,tuit,tweet
580,rekomenin,merekomendasikan
581,n,dan
582,end up nya,akhirnya
583,gaperna,tidak pernah
584,ngupas,mengupas
585,brow,kawan
586,cen,memang
587,kelegen,kemanisan
588,best,terbaik
589,in the,di
590,in,di
591,yupps,ya
592,kirain,saya kira
593,kali,mungkin
594,responnya,respons
595,dikeluarin,dikeluarkan
596,ato,atau
597,dikurangi,kurang
598,no hard feeling,tidak ada perasaan
599,hard,keras
600,feeling,perasaan
601,nomor hard feeling,tidak ada perasaan
602,trending,tren
603,nanggepinnya,menanggapi
604,fomo,takut ketinggalan zaman
605,grand opening,pembukaan
606,luu,kamu
607,bayii,bayi
608,lhoh,lho
609,udel,pusar
610,kau,kamu
611,haki,hak kekayaan intelektual
612,ingredients,bahan-bahan
613,detail nya,detail
614,sumpa,sumpah
615,viralin,memviralkan
616,basenya,dasarnya
617,prtama,pertama
618,milih,memilih
619,pricey,mahal
620,iah,iya
621,karyawan nya,karyawan
622,crew nya,kru
623,customer nya,pelanggan
624,br,baru
625,lm,lama
626,kjdian,kejadian
627,cafe,kafe
628,apalg,apalagi
629,indihom,indihome
630,mlhan,malah
631,digituin,begitu
632,gitu,begitu
633,gini,begini
634,idnonesia,indonesia
635,ni,nih
636,sarkasm,sarkasme
637,ngajak,mengajak
638,anying,anjing
639,ngoreksi,mengoreksi
640,kelar,selesai
641,caption,keterangan
642,goodbye,selamat tinggal
643,les,lebih sedikit
644,muaniz,manis
